province,city,terminal_name
경상북도,봉화군,봉화공용정류장
경상북도,봉화군,상운
경상북도,봉화군,춘양버스터미널
경상북도,상주시,경북대상주캠퍼스정류소
경상북도,상주시,상주터미널
경상북도,상주시,양정정류소(상주시)
경상북도,상주시,함창버스정류장
경상북도,성주군,임시성주버스정류장
경상북도,안동시,경북도청버스정류장
경상북도,안동시,안동대
경상북도,안동시,안동초교정류소
경상북도,안동시,안동터미널
경상북도,안동시,옹천정류소
경상북도,안동시,용상정류소
경상북도,안동시,임동정류소
경상북도,영덕군,강구버스터미널
경상북도,영덕군,영덕터미널
경상북도,영덕군,영해버스터미널
경상북도,영양군,영양버스정류장
경상북도,영양군,입암정류장
경상북도,영주시,영주종합터미널
경상북도,영주시,풍기IC정류소
경상북도,영천시,동영천IC정류장
경상북도,영천시,영천버스터미널
경상북도,예천군,예천삼거리정류소
경상북도,예천군,예천시외버스터미널
경상북도,예천군,용궁정류소
경상북도,울진군,금강송시외버스정류장
경상북도,울진군,부구터미널
경상북도,울진군,온정종합터미널
경상북도,울진군,울진종합버스터미널
경상북도,울진군,죽변시외버스정류장
경상북도,울진군,평해버스정류장
경상북도,울진군,후포터미널
경상북도,의성군,도리원버스터미널
경상북도,의성군,의성시외버스터미널
경상북도,청송군,안덕버스터미널
경상북도,청송군,주왕산버스터미널
경상북도,청송군,진보버스터미널
경상북도,청송군,청송버스터미널
경상북도,포항시 남구,포항터미널
경상남도,거제시,거제(한화오션남문)
경상남도,거제시,고현버스터미널
경상남도,거제시,옥포정류소
경상남도,거제시,장승포시외(능포동)
경상남도,거제시,장승포시외버스정류장
경상남도,거창군,가조정류소
경상남도,거창군,거창버스터미널
경상남도,고성군,고성여객자동차터미널
경상남도,고성군,배둔시외버스터미널
경상남도,김해시,김해여객터미널
경상남도,김해시,김해장유고속버스환승정류장
경상남도,김해시,장유시외버스정류소
경상남도,남해군,남해공용터미널
경상남도,남해군,남해사거리
경상남도,밀양시,밀양버스터미널
경상남도,사천시,곤양공용터미널
경상남도,사천시,사천공항
경상남도,사천시,사천터미널
경상남도,사천시,삼천포시외버스터미널
경상남도,사천시,용현(사천시)
경상남도,사천시,우주항공청정류장
경상남도,산청군,덕산(산청)
경상남도,산청군,산청버스터미널
경상남도,산청군,생초버스정류장
경상남도,산청군,원지버스정류소
경상남도,산청군,중산리(산청)
경상남도,양산시,양산시외버스터미널
경상남도,의령군,가례정류장
경상남도,의령군,대의정류소
경상남도,의령군,신반정류소
경상남도,의령군,의령버스터미널
경상남도,의령군,정암(의령군)
경상남도,의령군,칠곡(의령)
경상남도,진주시,경남과학기술대학교정류소
경상남도,진주시,진주개양시외버스승강장
경상남도,진주시,진주도동정류소
경상남도,진주시,진주시외버스터미널
경상남도,진주시,진주역
경상남도,진주시,진주혁신도시정류장
경상남도,창녕군,남지버스터미널
경상남도,창녕군,부곡버스터미널
경상남도,창녕군,영산정류소
경상남도,창녕군,이방정류소
경상남도,창녕군,창녕시외버스터미널
경상남도,창원시 마산합포구,마산남부시외버스터미널
경상남도,창원시 마산회원구,내서고속버스터미널
경상남도,창원시 마산회원구,마산시외버스터미널
경상남도,창원시 성산구,남산시외버스정류소
경상남도,창원시 성산구,정우상가
경상남도,창원시 의창구,창원역시외고속버스정류소
경상남도,창원시 의창구,창원종합버스터미널
경상남도,창원시 진해구,용원시외버스센터
경상남도,창원시 진해구,진해경찰서정류소
경상남도,창원시 진해구,진해시외버스터미널
경상남도,통영시,통영종합버스터미널
경상남도,하동군,개치
경상남도,하동군,전도정류소
경상남도,하동군,진교터미널
경상남도,하동군,하동(교통쉼터)정류장
경상남도,하동군,하동버스터미널
경상남도,하동군,화개버스터미널
경상남도,함안군,가야주공
경상남도,함안군,군북버스터미널
경상남도,함안군,월촌(함안군)
경상남도,함안군,함안버스터미널
경상남도,함양군,마천정류소
경상남도,함양군,백무동시외버스정류소
